incident_id,Incident_date,state,city_or_county,address,killed,injured
422020,2015-09-28,South Carolina,Abbeville,1921 Oakridge,0,4
1272855,2018-12-09,Maryland,Aberdeen,3554 E Washington Ave,0,4
366046,2015-06-29,Massachusetts,Abington,13450 NW 30th Ave,0,4
1819955,2020-10-10,Georgia,Acworth,8800 block of Shannon Fox Cir,2,2
2128023,2021-09-28,California,Aguanga,2700 block of Bloomington Ave,1,3
1038429,2018-01-28,South Carolina,Aiken,123 S 3rd St,4,0
2053500,2021-07-05,South Carolina,Aiken,1500 block of Beachwood Dr,1,3
1739917,2020-07-19,Ohio,Akron,9122 Dexter Ave,4,0
2107930,2021-09-04,Alabama,Akron,700 block of Longfellow St NW,3,3
1059559,2018-02-27,Ohio,Akron,1306 Stratford Ave,0,4
780792,2017-02-22,Ohio,Akron,191 Genesee St,0,4
1582816,2019-12-29,Ohio,Akron,1803 block of Westview Ave,0,5
853119,2017-05-27,Ohio,Akron,100 block of Q St NW,1,7
821723,2017-04-16,Florida,Alachua,611 S Martin St,0,4
1382711,2019-04-28,New York,Albany,4637 Wyndtree Dr,4,0
1408289,2019-05-29,New York,Albany,26311 TX-321,3,2
2019384,2021-05-29,New York,Albany,10466 W Florissant Ave,1,3
840339,2017-05-10,Georgia,Albany,300 block of Centre St,1,3
326792,2015-04-21,New York,Albany,420 Gilmer St,2,3
1914798,2021-01-29,New York,Albany,824 Island Ave,2,3
460386,2015-12-06,Georgia,Albany,North 108th Street and Military Road,2,3
1934225,2021-02-20,Georgia,Albany,2912 Swede Rd,1,4
1846712,2020-11-08,Georgia,Albany,3700 block of Whitney Ct,0,4
429410,2015-10-12,New York,Albany,4731 Glenwood Road,0,4
1159528,2018-07-08,Georgia,Albany,Mount Moriah Rd and Mendenhall Rd,0,4
1174990,2018-07-29,New York,Albany,Spring and River Street,0,4
1102808,2018-04-29,Alabama,Albertville,12603 Renton Ave S,2,2
1524264,2019-10-10,Michigan,Albion,900 block of S 5th St,0,5
563630,2016-05-21,New Mexico,Albuquerque,Levi Barnes Road,1,3
1784570,2020-09-03,New Mexico,Albuquerque,Woodson Lateral Rd and I-530,1,3
155755,2014-07-06,New Mexico,Albuquerque,100 block of Erb Street,0,4
1305679,2019-01-19,New Mexico,Albuquerque,1435 Wilcox Ave,1,4
1585746,2020-01-01,New Mexico,Albuquerque,1437 St Clair Ave NE,0,4
453317,2015-11-22,New Mexico,Albuquerque,1800 block of FM 802,0,4
1725571,2020-07-05,New Mexico,Albuquerque,San Juan Dr and W McNichols Rd,2,4
1164110,2018-07-15,New Mexico,Albuquerque,1400 Cowart St,0,5
1671078,2020-05-03,New Mexico,Albuquerque,3700 W 13th St,0,5
640500,2016-08-27,New Mexico,Albuquerque,3810 7th Ave,1,6
1365052,2019-04-07,New Mexico,Albuquerque,515 N Cherry St,0,7
624156,2016-08-07,Virginia,Alexandria,5925 South Figueroa Street,1,3
